Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Рентген-лаборант,40,от 160 000 до 200 000 KZT на руки,ТОО Orhun Medical,Вакансия опубликована 22 мая 2023 в Актау,Алматы,сменный график,Полная занятость,Умение работать в команде;Медицинское оборудование;Рентгенография;Казахский — C2 — В совершенстве;Русский — C2 — В совершенстве;,https://almaty.hh.kz/vacancy/80131855,,
Удаленный сотрудник по работе с клиентами,40,от 100 000 до 160 000 KZT до вычета налогов,ТОО Oktrening,Вакансия опубликована 29 мая 2023 в Актау,Алматы,удаленная работа,Полная занятость,Грамотная речь;Работа в команде;Грамотность;Работа с большим объемом информации;Деловое общение;,https://almaty.hh.kz/vacancy/79196855,,
Медицинский представитель,65,от 180 000 до 500 000 KZT на руки,ТОО Новатор Фарма,Вакансия опубликована 17 мая 2023 в Актау,Алматы,полный день,Полная занятость,Навыки продаж;Коммуникативные навыки;Навыки презентации;Работа в команде;Стрессоустойчивость;,https://almaty.hh.kz/vacancy/80547606,,Медицина
Менеджер-оценщик (Ломбард/МФО),137,от 170 000 до 200 000 KZT до вычета налогов,ТОО МФО LFTech (ТМ Деньги Маркет),Вакансия опубликована 17 мая 2023 в Актау,Алматы,полный день,Полная занятость,Работа в команде;Деловое общение;Обучение и развитие;Ориентация на результат;,https://almaty.hh.kz/vacancy/80576475,,Финансы
Тайный покупатель,40,з/п не указана,ТОО Staff-UP Consulting Group,Вакансия опубликована 10 мая 2023 в Актау,Алматы,полный день,Проектная работа/разовое задание,Пользователь ПК;Телефонные переговоры;Ответственность;Аудит;Умение принимать решения;,https://almaty.hh.kz/vacancy/80239866,,
Менеджер-оценщик (Ломбард/МФО),137,от 170 000 до 200 000 KZT до вычета налогов,ТОО МФО LFTech (ТМ Деньги Маркет),Вакансия опубликована 15 мая 2023 в Актау,Алматы,полный день,Полная занятость,Работа в команде;Деловое общение;Обучение и развитие;Ориентация на результат;,https://almaty.hh.kz/vacancy/80440047,,Финансы
Медицинский представитель,65,от 200 000 KZT на руки,ТОО Vitaman (Витамэн),Вакансия опубликована 29 мая 2023 в Актау,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/78922100,,Медицина
Менеджер-консультант,76,з/п не указана,Престиж (ТОО Идальго Актау),Вакансия опубликована 15 мая 2023 в Актау,Алматы,полный день,Полная занятость,Пользователь ПК;Работа в команде;Умение работать в команде;Грамотность;Грамотная речь;Обслуживание покупателей;,https://almaty.hh.kz/vacancy/80433440,,Менеджмент
Мусорщик-уборщик,40,з/п не указана,Филиал частной компании Aktau Tоurism City Ltd. в городе Актау,Вакансия опубликована 28 мая 2023 в Актау,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80387844,,
"IT-наставник для детей по разработке игр (Minecraft, Roblox)",96,до 80 000 руб. на руки,Skyeng,Вакансия опубликована 10 мая 2023 в Актау,Алматы,удаленная работа,Частичная занятость,Разработка компьютерных Игр;Minecraft;Roblox;Программирование для детей;Преподаватель;Преподавание;Обучение;,https://almaty.hh.kz/vacancy/80255603,,IT
Торговый представитель (на личном автомобиле),129,з/п не указана,"Lamoda.kz (Мода с доставкой, ТОО)",Вакансия опубликована 29 мая 2023 в Актау,"Алматы, Театр имени Ауэзова, улица Манаса, 32А",сменный график,Полная занятость,E9,https://almaty.hh.kz/vacancy/78548977,,
Машинист бульдозера,63,от 130 000 до 130 000 руб. на руки,ООО Дорожно-строительный трест № 1,Вакансия опубликована 22 мая 2023 в Актау,Алматы,Вахтовый метод,Полная занятость,E9,https://almaty.hh.kz/vacancy/79700426,,
Начинающий специалист по дефектоскопии,40,з/п не указана,ТОО KazPetroCon,Вакансия опубликована 4 мая 2023 в Актау,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80108504,,
Менеджер по работе с клиентами,8,з/п не указана,ТОО Eurasia Motor Aktau,Вакансия опубликована 10 мая 2023 в Актау,Актау,сменный график,Полная занятость,Работа в команде;Пользователь ПК;Умение расставлять приоритеты;Умение планировать;Организованность;Коммуникабельность;Русский — C1 — Продвинутый;Казахский — C2 — В совершенстве;,https://almaty.hh.kz/vacancy/80235043,,
Администратор аквапарка,8,от 400 000 до 500 000 KZT до вычета налогов,ТОО TREE OF LIFE KAZAKHSTAN (ТРИ ОФ ЛАЙФ КАЗАХСТАН),Вакансия опубликована 15 мая 2023 в Актау,Алматы,полный день,Полная занятость,Грамотная речь;Материальная ответственность;Навыки улаживания конфликтов;,https://almaty.hh.kz/vacancy/80407895,,
Администратор офиса,8,от 200 000 KZT до вычета налогов,ИП Тулешова,Вакансия опубликована 24 мая 2023 в Актау,Актау,полный день,Полная занятость,Работа в команде;Обучение и развитие;,https://almaty.hh.kz/vacancy/80947320,,
Помощник нотариуса,145,от 100 000 KZT на руки,Нотариус КУАНЫШ АСКАР,Вакансия опубликована 27 мая 2023 в Актау,"Актау, 14-й микрорайон, 70",полный день,Полная занятость,Работа с людьми;Пользователь ПК;Делопроизводство;Бумажный документооборот;Английский — A1 — Начальный;,https://almaty.hh.kz/vacancy/81139633,,
Работник на производство,85,з/п не указана,ТОО Millina Food Production company Ltd,Вакансия опубликована 19 мая 2023 в Актау,Алматы,полный день,Полная занятость,Пользователь ПК;Умение работать в команде;Internet;Google Chrome;Планирование карьеры;,https://almaty.hh.kz/vacancy/80701877,,Сервисное обслуживание/производство
Менеджер IT-проектов (Project Manager),107,от 250 000 KZT до вычета налогов,ТОО Mediana Services Limited,Вакансия опубликована 15 мая 2023 в Актау,Актау,полный день,Полная занятость,Ведение переговоров;Ведение клиентской базы;Администрирование сайтов;Деловая переписка;Деловое общение;Грамотность;Деловая коммуникация;Подготовка презентаций;Умение вести переговоры;Эффективное принятие решений;Работа с большим объемом информации;,https://almaty.hh.kz/vacancy/80434824,,IT
Помощник снабженца,142,от 170 000 до 190 000 KZT на руки,ИП ШИЕЛІ ТЕРЕЗЕ,Вакансия опубликована 21 мая 2023 в Актау,Алматы,полный день,Полная занятость,Закупка товаров и услуг;Деловая переписка;Закупки;Работа с большим объемом информации;,https://almaty.hh.kz/vacancy/80774115,,Финансы
Администратор-консультант,8,от 100 000 KZT на руки,ИП Владыкина Ю.А.,Вакансия опубликована 22 мая 2023 в Актау,"Актау, 15-й микрорайон, 69",полный день,Полная занятость,Грамотная речь;Навыки продаж;Активные продажи;Поиск и привлечение клиентов;1С: Управление Торговлей;CRM;Ведение отчетности;Работа с ПК;Работа в условиях многозадачности;,https://almaty.hh.kz/vacancy/80835224,,
Ассистент технического отдела по документообороту,40,от 100 000 до 150 000 KZT на руки,ТОО ABAT TOTAL ENGINEERING SERVICES & CONSULTING,Вакансия опубликована 23 мая 2023 в Актау,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80859895,,
Мануальный терапевт/реабилитолог/остеопат/физиотерапевт,24,от 500 000 до 700 000 KZT до вычета налогов,ТОО Skolioz.kz,Вакансия опубликована 28 мая 2023 в Актау,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81174686,,Медицина
Помощник бухгалтера,18,от 70 000 KZT на руки,ИП Махмудов (РК GRANI),Вакансия опубликована 4 мая 2023 в Актау,"Актау, 4-й микрорайон, 10А",полный день,Частичная занятость,Работа с поставщиками;Пользователь ПК;исполнение поручений руководителя;Знание офисных программ;первичная обработка документации;Первичная бухгалтерская документация;Расчеты с поставщиками;Русский — C1 — Продвинутый;,https://almaty.hh.kz/vacancy/80120743,,Финансы
Администратор/Кредитный менеджер в Автосалон,8,от 100 000 до 150 000 KZT на руки,ТОО Carplaza,Вакансия опубликована 23 мая 2023 в Актау,Актау,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80917130,,
Озеленитель (на сезон),40,от 100 000 KZT до вычета налогов,ТОО Oil Real Estate,Вакансия опубликована 17 мая 2023 в Актау,Алматы,полный день,Полная занятость,"Коммуникабельность, ответственность;Работа в команде;Умение правильно расставлять приоритеты;",https://almaty.hh.kz/vacancy/80585446,,
Помощник нотариуса,145,от 90 000 KZT на руки,Частный нотариус Абулхасов Г.С,Вакансия опубликована 6 мая 2023 в Актау,Алматы,полный день,Полная занятость,Грамотная речь;Прием посетителей;Грамотность;Делопроизводство;Работа с людьми;,https://almaty.hh.kz/vacancy/80173186,,
Торговый представитель по оптовым поставкам,129,от 195 000 до 217 000 KZT на руки,ТОО МАРЛЕНТРАНСАВТО,Вакансия опубликована 25 мая 2023 в Актау,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81042561,,
Инспектор по взысканию долгов,137,от 150 000 KZT на руки,ТОО Бюро по работе с должниками,Вакансия опубликована 22 мая 2023 в Актау,Алматы,полный день,Полная занятость,"Знание и умение работать на ПК, желательно знание казахского языка;;Казахский — B1 — Средний;",https://almaty.hh.kz/vacancy/80795884,,Финансы
Ассистент категорийного менеджера,123,от 120 000 до 150 000 KZT на руки,ТОО ADM Group Company,Вакансия опубликована 18 мая 2023 в Актау,Алматы,полный день,Полная занятость,1С: Документооборот;Знание 1С;Работа с компьютером;Составление отчетности;Ведение документации;Умение работать в команде;Умение адаптироваться;Ответственность и пунктуальность;Excel;Способность работать с документами;Желание работать и зарабатывать;,https://almaty.hh.kz/vacancy/80627542,,
Водитель с личным авто (легковое авто),40,от 140 000 до 150 000 KZT на руки,ТОО Мирас Вест Компани,Вакансия опубликована 3 мая 2023 в Актау,"Актау, 8-й микрорайон, 7",полный день,Полная занятость,Работа в команде;Водительское удостоверение категории B;Мобильность;Личный автомобиль;Работа в условиях многозадачности;Вождение автомобиля;Наличие автомобиля;Ответственность и пунктуальность;,https://almaty.hh.kz/vacancy/80062099,,
Бухгалтер,18,от 200 000 до 250 000 KZT до вычета налогов,ТОО KICOM-SECURITY,Вакансия опубликована 5 мая 2023 в Актау,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80136945,,Финансы
Преподаватель по рисованию,132,от 75 000 до 150 000 KZT на руки,ИП DigitalMan,Вакансия опубликована 19 мая 2023 в Актау,Алматы,полный день,Частичная занятость,Живопись;Грамотная речь;Работа в команде;Деловое общение;Навыки межличностного общения;Обучение;Творческое мышление;,https://almaty.hh.kz/vacancy/80723847,,
SMM-менеджер,3,от 120 000 до 180 000 KZT на руки,ТОО (ИнстаМакс),Вакансия опубликована 10 мая 2023 в Актау,Алматы,полный день,Полная занятость,Копирайтинг;Adobe Photoshop;Грамотность;Казахский — B1 — Средний;Русский — C2 — В совершенстве;,https://almaty.hh.kz/vacancy/80216570,,Менеджмент
Мастер в сферу обслуживания домофона,111,от 130 000 до 250 000 KZT на руки,ТОО KazStroyIndustry,Вакансия опубликована 12 мая 2023 в Актау,Актау,полный день,Полная занятость,Выездное обслуживание;Техническое обслуживание;Монтаж оборудования;Готовность к командному труду;Работа в коллективе;Точность и внимательность к деталям;Умение работать в условиях многозадачности;,https://almaty.hh.kz/vacancy/80335314,,Сервисное обслуживание/производство
